FIPS,State,lon,lat,Total,White,Black/African-American,American Indian/Alaska Native,Asian,Native Hawaiian/Pacific Islander,Other,Mixed Race,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_other,pct_mixed,score2,score4,,score3
12,FL,-83.8330166,27.9757279,18801310,14109162,2999862,71458,454821,12286,681144,472577,75.04350495,15.95560097,0.380069261,2.419092074,0.06534651,3.622853939,2.513532302,655.0872067,0.160104461,2,0.026651207
4,AZ,-111.930907,34.1682185,6392017,4667121,259008,296529,176695,12648,761716,218300,73.01484023,4.052054305,4.639052118,2.764307417,0.197871814,11.91667669,3.415197425,30553.21341,7.674731316,2,0.027391692
10,DE,-75.4189206,39.145251,897934,618617,191814,4181,28549,400,30519,23854,68.89337078,21.36170364,0.465624422,3.179409623,0.044546704,3.398802139,2.656542686,876.3020185,0.233288754,2,0.029030369
1,AL,-86.6807365,32.6010112,4779736,3275394,1251311,28218,53595,3057,96910,71251,68.52667177,26.17950029,0.590367334,1.121296239,0.063957507,2.027517838,1.490689026,229.5656704,0.061441913,2,0.029185716
37,NC,-79.8912675,35.2145629,9535483,6528950,2048628,122110,208962,6604,414030,206199,68.47005023,21.48426042,1.280585367,2.19141495,0.069257111,4.341992954,2.162438966,2684.426707,0.719065298,2,0.029209852
45,SC,-80.9470381,33.62505,4625364,3060000,1290684,19524,59051,2706,113464,79935,66.15695543,27.90448492,0.42210732,1.2766779,0.058503504,2.453082611,1.728188311,246.7396013,0.068403886,2,0.030231137
22,LA,-91.4299097,30.9733766,4533372,2836192,1452396,30579,70132,1963,69227,72883,62.5625252,32.03787379,0.674531011,1.547016217,0.043301101,1.527053152,1.607699523,222.347741,0.06518323,2,0.031968019
13,GA,-83.2229757,32.6781248,9687653,5787440,2950435,32151,314467,6799,388872,207489,59.74037262,30.45562222,0.331876049,3.246059701,0.070182117,4.014099184,2.141788109,1182.657218,0.363085065,2,0.033478198
28,MS,-89.8772196,32.5851062,2967297,1754684,1098385,15030,25742,1187,38162,34107,59.13408735,37.01634855,0.506521592,0.867523541,0.040002736,1.286086293,1.149429936,56.87913993,0.01764138,2,0.03382144
44,RI,-71.5064508,41.5827282,1052567,856869,60189,6058,30457,554,63653,34787,81.40754935,5.718305818,0.57554531,2.893592522,0.052633229,6.047406008,3.30496776,815.5401012,0.183737611,3,0.036851619
25,MA,-71.718067,42.0629398,6547629,5265236,434398,18850,349768,2223,305151,172003,80.41439122,6.634432097,0.287890471,5.341903153,0.033951221,4.660480916,2.626950916,341.034978,0.077782621,3,0.037306755
9,CT,-72.757507,41.5187835,3574097,2772410,362296,11256,135565,1428,198466,92676,77.56952316,10.13671425,0.314932695,3.792986033,0.039954148,5.552899096,2.592990621,540.3434844,0.127760388,3,0.038674983
53,WA,-120.5380993,47.1419049,6724540,5196362,240042,103869,481067,40475,349799,312926,77.27460912,3.569641938,1.544626101,7.153901977,0.601899907,5.201827932,4.653493027,44410.65235,10.54065895,3,0.038822584
17,IL,-89.504139,39.739318,12830632,9177877,1866414,43963,586934,4050,861412,289982,71.53098148,14.54654767,0.342640955,4.574474586,0.031565086,6.713714492,2.260075731,781.1374216,0.200286043,3,0.041939869
48,TX,-100.0768425,31.1693363,25145561,17701552,2979598,170972,964596,21656,2628186,679001,70.39632959,11.84939958,0.679929153,3.836048836,0.086122557,10.45188851,2.700281771,5288.285794,1.377787777,3,0.042615858
51,VA,-79.4587861,38.0033855,8001024,5486852,1551399,29225,439890,5980,254278,233400,68.57687216,19.39000558,0.365265746,5.497921266,0.074740433,3.178068207,2.917126608,1850.2788,0.494853819,3,0.043746527
35,NM,-106.0260685,34.1662325,2059179,1407876,42550,193222,28208,1810,308503,77010,68.37074387,2.066357514,9.383448452,1.36986634,0.087899109,14.98184471,3.739840004,8943.741207,2.399199405,3,0.043878417
24,MD,-77.2684162,38.8063524,5773552,3359284,1700298,20420,318853,3157,206832,164708,58.18400874,29.44977373,0.353681754,5.522648796,0.054680377,3.582404731,2.85280188,1870.35242,0.589572519,3,0.051560559
11,DC,-77.0145666,38.8993487,601723,231471,305125,2079,21056,302,24374,17316,38.46803263,50.70854862,0.345507817,3.499284555,0.050189207,4.05070107,2.877736101,1379.779804,0.657850538,2,0.051991221
40,OK,-98.7165585,35.3097654,3751351,2706845,277644,321687,65076,4369,154409,221321,72.15653774,7.401173604,8.57523063,1.734735033,0.116464708,4.116090443,5.899767844,22468.25844,5.710986719,4,0.055435032
34,NJ,-74.7311156,40.1430058,8791894,6029248,1204826,29026,725726,3043,559722,240303,68.57735091,13.70382764,0.330145018,8.254489874,0.034611427,6.366341541,2.73323359,1542.42399,0.41251571,4,0.058328296
2,AK,-158.7750198,61.3025006,710231,473576,23263,104871,38135,7409,11102,51875,66.67915087,3.275413211,14.76575931,5.369379821,1.043181725,1.563153397,7.303961669,206232.0328,56.72617336,4,0.059988766
32,NV,-117.0230604,38.502032,2700551,1786688,218626,32062,195436,16871,324793,126075,66.16012806,8.095607156,1.187239197,7.236893508,0.624724362,12.02691599,4.668491726,161419.3091,44.74830327,4,0.060459375
36,NY,-73.97968,40.7056258,19378102,12740974,3073800,106906,1420244,8766,1441563,585849,65.74933913,15.8622346,0.551684577,7.329118197,0.045236628,7.439134132,3.023252742,4290.277685,1.196772046,4,0.060837113
6,CA,-119.2704153,37.2718745,37253956,21453934,2299072,362801,4861007,144386,6317372,1815384,57.58833773,6.171349963,0.973858991,13.04829747,0.387572262,16.957587,4.872996575,144636.3632,46.06386514,4,0.069458508
15,HI,-157.505,20.46,1360301,336599,21424,4164,525078,135422,16985,320629,24.74444994,1.574945545,0.306108722,38.60013335,9.955296659,1.24862071,23.57044507,134915.0436,100,4,0.08
